                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4609,                 2.1999,                 1.5508,                0.59765,                0.40546,                 0.4342,                0.24501,                 1.4205,                 2.3754,                 1.3995,             0.00065833,             0.00065833,             0.00065833
                      1,                 1.5626,                  1.919,                 1.6435,                0.63944,                0.45602,                0.47298,                0.25255,                  1.726,                 2.6295,                 1.6955,              0.0013198,              0.0013198,              0.0013198
                      2,                 1.6037,                 1.8109,                 1.6577,                0.60761,                0.53025,                0.53417,                0.26791,                 1.7206,                 3.5067,                 1.7401,              0.0019759,              0.0019759,              0.0019759
                      3,                 1.6369,                 1.7234,                 1.6901,                0.51036,                0.47152,                0.44377,                 0.2341,                  1.688,                 1.9153,                 1.6473,              0.0019762,              0.0019762,              0.0019762
                      4,                 1.6073,                  1.674,                  1.658,                0.79352,                0.62993,                0.71759,                0.41029,                 1.4676,                 2.0524,                 1.4683,              0.0019762,              0.0019762,              0.0019762
                      5,                 1.5589,                 1.5832,                 1.6231,                0.71246,                0.55308,                0.65634,                0.35622,                 1.5775,                 1.5081,                 1.5112,              0.0019683,              0.0019683,              0.0019683
                      6,                 1.5235,                  1.547,                 1.5971,                0.72685,                 0.7112,                 0.7229,                0.41306,                 1.6162,                 1.9835,                 1.5947,              0.0019604,              0.0019604,              0.0019604
                      7,                  1.498,                 1.5161,                 1.5858,                0.47233,                0.49579,                0.45432,                0.24094,                 1.6156,                 1.9802,                 1.6315,              0.0019525,              0.0019525,              0.0019525
                      8,                 1.5157,                 1.4898,                 1.6004,                0.80022,                0.63858,                0.73098,                0.40919,                 1.4913,                 2.2709,                 1.5029,              0.0019446,              0.0019446,              0.0019446
                      9,                 1.4743,                 1.4345,                 1.5373,                0.80182,                0.67365,                0.73737,                0.42945,                 1.5126,                 1.3558,                 1.4943,              0.0019366,              0.0019366,              0.0019366
                     10,                 1.4899,                 1.4668,                 1.5829,                 0.7878,                0.70913,                0.76793,                0.45149,                 1.5554,                 1.6173,                 1.5314,              0.0019287,              0.0019287,              0.0019287
                     11,                 1.4686,                 1.4259,                 1.5646,                0.85613,                0.67389,                0.77737,                0.46245,                 1.4221,                 1.3595,                 1.4272,              0.0019208,              0.0019208,              0.0019208
                     12,                 1.3922,                 1.3406,                 1.5099,                0.83805,                0.69666,                0.76396,                0.47187,                 1.3482,                 1.3192,                 1.4082,              0.0019129,              0.0019129,              0.0019129
                     13,                 1.4373,                 1.3931,                 1.5364,                0.75356,                0.63768,                0.73615,                0.43364,                  1.483,                 1.3488,                  1.476,               0.001905,               0.001905,               0.001905
                     14,                 1.3919,                 1.3745,                   1.52,                0.74679,                0.62319,                0.70269,                0.43148,                 1.3348,                 1.3265,                 1.3802,               0.001897,               0.001897,               0.001897
                     15,                 1.4022,                 1.3284,                 1.5131,                0.77807,                0.64847,                0.69519,                0.39836,                 1.4558,                 2.2489,                 1.4619,              0.0018891,              0.0018891,              0.0018891
